id,date,ndvi_avg,value,variety,measurement_unit,date_stamp,metadata,time_stamp,state,metadata,full_name,name,geometry
90214,2019-11-02,0.6101800252016412,3581.158766,{},Kg/Ha,2019-09-19,,,"{'area': 6.530601, 'year_of_planting': ['2019'], 'variety': ['hass, fuerte, zutano']}","[{'level_name': 'empresa', 'name': 'agricola chapi', 'level': 2}, {'level_name': 'fundo', 'name': 'don ernesto', 'level': 1}, {'level_name': 'grupo', 'name': 'pal-1', 'level': 0}, {'level_name': 'lote', 'name': '36', 'level': -1}]",lote AGRICOLA CHAPI.DON ERNESTO.PAL-1.36,AGRICOLA CHAPI.DON ERNESTO.PAL-1.36,"POLYGON ((-75.6396578867764 -14.19970133595172, -75.64231663022875 -14.20062882414364, -75.64298408105815 -14.1988025717213, -75.64032613621433 -14.19787640144322, -75.6396578867764 -14.19970133595172))"
90214,2019-10-28,0.6392420392232032,3581.158766,{},Kg/Ha,2019-09-19,,,"{'area': 6.530601, 'year_of_planting': ['2019'], 'variety': ['hass, fuerte, zutano']}","[{'level_name': 'empresa', 'name': 'agricola chapi', 'level': 2}, {'level_name': 'fundo', 'name': 'don ernesto', 'level': 1}, {'level_name': 'grupo', 'name': 'pal-1', 'level': 0}, {'level_name': 'lote', 'name': '36', 'level': -1}]",lote AGRICOLA CHAPI.DON ERNESTO.PAL-1.36,AGRICOLA CHAPI.DON ERNESTO.PAL-1.36,"POLYGON ((-75.6396578867764 -14.19970133595172, -75.64231663022875 -14.20062882414364, -75.64298408105815 -14.1988025717213, -75.64032613621433 -14.19787640144322, -75.6396578867764 -14.19970133595172))"
90214,2019-10-23,0.5986565984520966,3581.158766,{},Kg/Ha,2019-09-19,,,"{'area': 6.530601, 'year_of_planting': ['2019'], 'variety': ['hass, fuerte, zutano']}","[{'level_name': 'empresa', 'name': 'agricola chapi', 'level': 2}, {'level_name': 'fundo', 'name': 'don ernesto', 'level': 1}, {'level_name': 'grupo', 'name': 'pal-1', 'level': 0}, {'level_name': 'lote', 'name': '36', 'level': -1}]",lote AGRICOLA CHAPI.DON ERNESTO.PAL-1.36,AGRICOLA CHAPI.DON ERNESTO.PAL-1.36,"POLYGON ((-75.6396578867764 -14.19970133595172, -75.64231663022875 -14.20062882414364, -75.64298408105815 -14.1988025717213, -75.64032613621433 -14.19787640144322, -75.6396578867764 -14.19970133595172))"
90214,2019-10-13,0.5023637340703234,3581.158766,{},Kg/Ha,2019-09-19,,,"{'area': 6.530601, 'year_of_planting': ['2019'], 'variety': ['hass, fuerte, zutano']}","[{'level_name': 'empresa', 'name': 'agricola chapi', 'level': 2}, {'level_name': 'fundo', 'name': 'don ernesto', 'level': 1}, {'level_name': 'grupo', 'name': 'pal-1', 'level': 0}, {'level_name': 'lote', 'name': '36', 'level': -1}]",lote AGRICOLA CHAPI.DON ERNESTO.PAL-1.36,AGRICOLA CHAPI.DON ERNESTO.PAL-1.36,"POLYGON ((-75.6396578867764 -14.19970133595172, -75.64231663022875 -14.20062882414364, -75.64298408105815 -14.1988025717213, -75.64032613621433 -14.19787640144322, -75.6396578867764 -14.19970133595172))"
90214,2019-10-08,0.5047278833107725,3581.158766,{},Kg/Ha,2019-09-19,,,"{'area': 6.530601, 'year_of_planting': ['2019'], 'variety': ['hass, fuerte, zutano']}","[{'level_name': 'empresa', 'name': 'agricola chapi', 'level': 2}, {'level_name': 'fundo', 'name': 'don ernesto', 'level': 1}, {'level_name': 'grupo', 'name': 'pal-1', 'level': 0}, {'level_name': 'lote', 'name': '36', 'level': -1}]",lote AGRICOLA CHAPI.DON ERNESTO.PAL-1.36,AGRICOLA CHAPI.DON ERNESTO.PAL-1.36,"POLYGON ((-75.6396578867764 -14.19970133595172, -75.64231663022875 -14.20062882414364, -75.64298408105815 -14.1988025717213, -75.64032613621433 -14.19787640144322, -75.6396578867764 -14.19970133595172))"
90214,2019-10-03,0.37943220293493063,3581.158766,{},Kg/Ha,2019-09-19,,,"{'area': 6.530601, 'year_of_planting': ['2019'], 'variety': ['hass, fuerte, zutano']}","[{'level_name': 'empresa', 'name': 'agricola chapi', 'level': 2}, {'level_name': 'fundo', 'name': 'don ernesto', 'level': 1}, {'level_name': 'grupo', 'name': 'pal-1', 'level': 0}, {'level_name': 'lote', 'name': '36', 'level': -1}]",lote AGRICOLA CHAPI.DON ERNESTO.PAL-1.36,AGRICOLA CHAPI.DON ERNESTO.PAL-1.36,"POLYGON ((-75.6396578867764 -14.19970133595172, -75.64231663022875 -14.20062882414364, -75.64298408105815 -14.1988025717213, -75.64032613621433 -14.19787640144322, -75.6396578867764 -14.19970133595172))"
90214,2019-09-28,0.4771726121129279,3581.158766,{},Kg/Ha,2019-09-19,,,"{'area': 6.530601, 'year_of_planting': ['2019'], 'variety': ['hass, fuerte, zutano']}","[{'level_name': 'empresa', 'name': 'agricola chapi', 'level': 2}, {'level_name': 'fundo', 'name': 'don ernesto', 'level': 1}, {'level_name': 'grupo', 'name': 'pal-1', 'level': 0}, {'level_name': 'lote', 'name': '36', 'level': -1}]",lote AGRICOLA CHAPI.DON ERNESTO.PAL-1.36,AGRICOLA CHAPI.DON ERNESTO.PAL-1.36,"POLYGON ((-75.6396578867764 -14.19970133595172, -75.64231663022875 -14.20062882414364, -75.64298408105815 -14.1988025717213, -75.64032613621433 -14.19787640144322, -75.6396578867764 -14.19970133595172))"
90214,2019-09-23,0.5517890264480537,3581.158766,{},Kg/Ha,2019-09-19,,,"{'area': 6.530601, 'year_of_planting': ['2019'], 'variety': ['hass, fuerte, zutano']}","[{'level_name': 'empresa', 'name': 'agricola chapi', 'level': 2}, {'level_name': 'fundo', 'name': 'don ernesto', 'level': 1}, {'level_name': 'grupo', 'name': 'pal-1', 'level': 0}, {'level_name': 'lote', 'name': '36', 'level': -1}]",lote AGRICOLA CHAPI.DON ERNESTO.PAL-1.36,AGRICOLA CHAPI.DON ERNESTO.PAL-1.36,"POLYGON ((-75.6396578867764 -14.19970133595172, -75.64231663022875 -14.20062882414364, -75.64298408105815 -14.1988025717213, -75.64032613621433 -14.19787640144322, -75.6396578867764 -14.19970133595172))"
90214,2019-09-18,0.5069663234128844,3581.158766,{},Kg/Ha,2019-09-19,,,"{'area': 6.530601, 'year_of_planting': ['2019'], 'variety': ['hass, fuerte, zutano']}","[{'level_name': 'empresa', 'name': 'agricola chapi', 'level': 2}, {'level_name': 'fundo', 'name': 'don ernesto', 'level': 1}, {'level_name': 'grupo', 'name': 'pal-1', 'level': 0}, {'level_name': 'lote', 'name': '36', 'level': -1}]",lote AGRICOLA CHAPI.DON ERNESTO.PAL-1.36,AGRICOLA CHAPI.DON ERNESTO.PAL-1.36,"POLYGON ((-75.6396578867764 -14.19970133595172, -75.64231663022875 -14.20062882414364, -75.64298408105815 -14.1988025717213, -75.64032613621433 -14.19787640144322, -75.6396578867764 -14.19970133595172))"
90214,2019-09-13,0.5899489852677625,3581.158766,{},Kg/Ha,2019-09-19,,,"{'area': 6.530601, 'year_of_planting': ['2019'], 'variety': ['hass, fuerte, zutano']}","[{'level_name': 'empresa', 'name': 'agricola chapi', 'level': 2}, {'level_name': 'fundo', 'name': 'don ernesto', 'level': 1}, {'level_name': 'grupo', 'name': 'pal-1', 'level': 0}, {'level_name': 'lote', 'name': '36', 'level': -1}]",lote AGRICOLA CHAPI.DON ERNESTO.PAL-1.36,AGRICOLA CHAPI.DON ERNESTO.PAL-1.36,"POLYGON ((-75.6396578867764 -14.19970133595172, -75.64231663022875 -14.20062882414364, -75.64298408105815 -14.1988025717213, -75.64032613621433 -14.19787640144322, -75.6396578867764 -14.19970133595172))"
